age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,3.3776961523560414,4.091629727756878,4.850504233306809,5.4130853142625925
25-29 years,5.880389350328222,8.001630061243604,6.788569760713951,7.497076039267005
30-34 years,11.952032536353409,16.650356113738923,10.578325017329975,12.340059318739781
35-39 years,23.56234231106399,33.8575010407446,18.462564176434558,22.12595246822902
40-44 years,44.61128975427175,62.77138956546698,36.4022813559741,46.92767736409332
45-49 years,80.33567591857957,109.99103956043037,75.53422062628107,102.69330631554365
50-54 years,135.8657519246594,180.69473096638035,147.43749150568263,205.97252103370835
55-59 years,215.51319159401152,278.85221478822143,264.0646674494749,373.1986848012171
60-64 years,326.7292848604334,403.76279791255246,430.22489234096054,601.3579349721522
65-69 years,470.10963634016144,553.8179555875117,646.2539826481999,874.4490177866209
70-74 years,661.5458882205247,717.8981321709218,935.1549045932677,1196.512307142131
75-79 years,884.9833054552366,916.9554825803438,1308.5638702882427,1585.8154164493103
80-84 years,1109.8110814981865,1124.9298663993081,1754.5758306018868,2056.3041426949562
