Year,Gender,Hypothetical_Excess_Deaths
1999,Female,4539.528839425193
1999,Male,9459.74082350468
2000,Female,4157.141570609111
2000,Male,9355.053528731733
2001,Female,4368.857278098032
2001,Male,8909.433924074043
2002,Female,4413.987917983311
2002,Male,8630.154977416654
2003,Female,4425.722334231351
2003,Male,8475.588165680625
2004,Female,4237.120459692134
2004,Male,8366.549236766263
2005,Female,4285.751310226512
2005,Male,8124.454755185387
2006,Female,4072.254744577823
2006,Male,7879.32024990754
2007,Female,4446.168475126355
2007,Male,7951.2024986061515
2008,Female,4117.322748255532
2008,Male,7598.841431083344
2009,Female,4102.643955472272
2009,Male,7782.723807147195
2010,Female,4375.359919686066
2010,Male,7756.016768087934
2011,Female,4847.462521467489
2011,Male,7380.517878830372
2012,Female,4564.8644738532685
2012,Male,7313.519795798233
2013,Female,4518.352273109191
2013,Male,7270.414524847028
2014,Female,4503.976083550878
2014,Male,6883.1381543453035
2015,Female,4334.677917085404
2015,Male,6645.611174105154
2016,Female,4727.046546608783
2016,Male,6823.222834293896
2017,Female,4524.781615795392
2017,Male,6748.157137854262
2018,Female,4574.108225578375
2018,Male,6388.329651070722
2019,Female,4688.565015767705
2019,Male,6488.4610675460735
2020,Female,4312.314069832785
2020,Male,6074.391720624212
2021,Female,3684.912845077109
2021,Male,5616.199030682387
2022,Female,3620.276046313279
2022,Male,5726.238124220911
