Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
1999,1236.8202323076976,3138.27397863887,147659.67576900992,318669.28387183003
2000,1093.8411177707776,3085.0940623411425,132229.5960727464,317940.7547392755
2001,1145.5885427817848,2897.6429072310066,141308.9424581754,305265.7240546272
2002,1120.2004932268865,2730.690442157197,140318.76702067998,292524.2032606262
2003,1100.5979796697893,2587.374789202214,139838.51241320747,281258.61005538685
2004,1037.9857183807635,2541.393160352709,133813.45472406215,281191.7854650038
2005,989.9913898147161,2331.1612313618443,129500.15000708743,262284.94122488576
2006,930.1212736961043,2220.9443172130814,123517.2496745324,254295.0594177401
2007,997.2413338175438,2166.386109924959,134401.2760894852,252140.35002433558
2008,894.1253842955075,2020.8765958330214,122331.19505300473,239223.79312747874
2009,886.9665748322213,2047.3149034985936,123260.64506588102,246619.8398995271
2010,917.4484561030768,2004.3994037347047,129111.66800032182,244937.14612451807
2011,1000.6058720122219,1814.996383490935,143751.83247540274,227269.7452489082
2012,918.5755820073991,1755.1412037341415,134200.7234455231,224413.17922581313
2013,881.4942000614501,1679.2925936747242,130819.18692327557,218858.59325455042
2014,847.3980316765492,1525.3864299646175,127985.2363978106,202930.043026036
2015,788.647455578398,1412.2727479496316,120887.32838043773,191164.98495336753
2016,843.2248981623334,1406.7875904847197,130725.19812335147,193005.77094290068
2017,790.2564913738152,1361.5745350413636,124356.93468793484,189864.16194604753
2018,785.3784860628675,1282.9154390796994,124840.95248957332,181017.675005766
2019,798.3722683654714,1241.1682982452521,128297.55330055875,177219.75623267796
2020,686.0221775989985,1096.2234732727702,111457.63216186807,158439.3600768253
2021,565.5177031942585,937.9357733790648,92486.69359575694,138030.23008383295
2022,543.9521447334337,963.802007565524,89701.98413040082,143450.305373917
