age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,270.8028298615236,0.7139335754008367,213.16009817914687,0.5625810809557832
25-29 years,773.29982845751465,2.121240710915383,245.33328586908056,0.7085062785530534
30-34 years,1645.3656962405375,4.698323577385514,566.4933633972205,1.7617343014098061
35-39 years,3555.2238696698123,10.295158729680612,1135.808445661074,3.663388291794462
40-44 years,6244.656317761299,18.16009981119523,3219.2304710168137,10.525396008119223
45-49 years,9922.144946944994,29.655363641850798,8029.77515558459,27.159085689262582
50-54 years,14136.301662678343,44.82897904172094,16133.951653780197,58.53502952802572
55-59 years,17643.020304943515,63.339023194209915,25873.216724687147,109.13401735174222
60-64 years,17691.103707919727,77.03351305211908,32063.65115510099,171.13304263119164
65-69 years,15060.2073069998,83.70831924735029,31525.8925840881,228.19503513842096
70-74 years,7656.279591602652,56.35224395039711,25221.11218394451,261.3574025488633
75-79 years,3174.2556146212446,31.972177125107123,17512.41369975885,277.2515461610676
80-84 years,1039.5921422326792,15.118784901121671,11332.360222121439,301.72831209306946
