Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
2000,2056.6579871806293,1717.7807409147308,248620.25250880324,177029.4500611013
2001,1995.8148997584153,1828.6690138405156,246184.80570894844,192649.6771473238
2002,1921.6755035105566,1715.6501992682715,240713.28203908502,183788.39280603986
2003,1786.2892080269553,1867.6541735368764,226960.27996089967,203021.92751715428
2004,1732.1915146631327,1648.1333323404542,223308.01543432433,182357.28404214315
2005,1581.4321847025853,1625.9860409289076,206866.14777866885,182943.8682490366
2006,1470.9029587783366,1678.250528706394,195331.39725367966,192157.36955115251
2007,1390.605212282744,1505.513119903696,187416.13361734716,175222.9684633162
2008,1270.6187958961614,1395.5554791751902,173841.74355060677,165200.62429171213
2009,1248.9554546055733,1338.4440841341357,173565.79082177283,161229.16175696978
2010,1168.633569221237,1229.8902978575043,164460.7153672853,150292.31152341852
2011,1092.0954378943363,1156.1150781798328,156895.6617450479,144766.117269602
2012,996.7915972943215,1161.666681144081,145627.81343368973,148531.24783442233
2013,1039.2707057759687,1095.436331168823,154234.19543011548,142765.8618531207
2014,967.6534155332547,1034.199335494582,146147.79183891718,137584.88441140877
2015,894.7163508003989,1028.9640399095547,137146.03216113814,139280.38722863016
2016,995.2581813452991,1074.218656330041,154294.9256168708,147378.61019572197
2017,879.6270391341832,1070.0964048017295,138420.5298525127,149219.12232515906
2018,897.20449860749,1121.3900981317092,142616.4151065416,158226.66261145464
2019,855.7619944589246,1034.9477303676463,137520.01972897523,147774.62874988414
2020,1067.112534056466,1399.207475788805,173373.16515400965,202230.24089863282
2021,925.4893924402484,1184.4228101302456,151357.69115850644,174304.20892235785
2022,808.8637177348292,1156.8089375643876,133387.98472329474,172177.0592406721
2023,732.1221776173793,1011.8504656614032,121990.74371333075,151126.93988128554
