age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.08886404776715084,0.3251417378902394,0.10186764760425582,0.27848158842184945
25-29 years,0.09789209522974465,0.49861959302611836,0.17874414309205974,0.7724672550232378
30-34 years,0.2082098249120529,0.8534952504030163,0.34305160173183813,1.5433273626732267
35-39 years,0.35352801618086854,1.4897515990606087,0.5967256213660888,2.7839471942513985
40-44 years,0.6243327723931996,2.6603175776100634,1.1601343301619083,4.939154491060011
45-49 years,1.2141163059015883,4.425785893123593,2.1838898978057033,8.136372327966447
50-54 years,2.409176421537141,8.280113291816876,4.257133013474353,14.203631371433252
55-59 years,4.450600063695222,14.069295478923975,8.038298243556321,23.29923676628207
60-64 years,8.77327487501828,23.141601803677624,14.853308031024579,38.81990338850429
65-69 years,16.67794596655141,35.89133191445794,27.017095465390646,59.104720125421366
70-74 years,35.327678445920355,60.45069758964439,52.30573409944568,89.56117693897971
75-79 years,75.39466338794678,105.02054765722069,103.92271797293624,147.31038248486098
80-84 years,172.05866750284446,192.9191192684175,222.50621236885797,243.40511318186785
