age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,176.06661793470983,0.48106391714074237,120.94450249874845,0.3302040898700177
25-29 years,317.2183441240552,0.9038358951288888,319.3201633112621,0.9560634497155917
30-34 years,686.0306882648906,2.040153080365144,748.1912348084189,2.4207631136102767
35-39 years,1370.4082110634595,4.149528097149545,1627.9050765840889,5.48668495213545
40-44 years,2961.2353616800456,8.982698385539246,3173.243263561065,10.816520853308184
45-49 years,4887.6795885513875,15.148335695461386,5570.601564868224,19.51959019057726
50-54 years,6781.48958602397,22.15923522476512,8606.598294803276,32.14434644790737
55-59 years,7492.0249207874385,27.59358961937708,11210.823657343517,48.46078566558125
60-64 years,8920.982696382664,39.862102579105226,12920.614023340968,70.69443102272727
65-69 years,9527.337471002527,54.49383767853452,13097.036457385278,97.45646157449289
70-74 years,9991.550014820099,75.97436080474175,12120.031636165899,129.47093247527263
75-79 years,9365.16588163704,97.70860816513414,9369.993646177198,153.3663719887867
80-84 years,5860.8399662966185,88.15438051388469,5320.228192272176,146.04384180595167
