Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
2000,858.3260997106427,1099.3036371021597,103759.23122613688,113291.01188009187
2001,880.8745115065606,1082.6848735725423,108656.32904908025,114060.49414485905
2002,849.8879797184136,1058.9516755741988,106458.82959420407,113439.80643376609
2003,863.1401017073113,1074.0058198112401,109667.8624316106,116748.98639815781
2004,838.4299266244511,1055.460377663729,108087.42648278327,116781.13906690513
2005,745.964756753083,989.0493089014219,97579.17987307404,111280.47960122286
2006,718.3360501287883,987.5933080425041,95392.8221654292,113078.07089210162
2007,685.4468155663772,1021.2160777101395,92379.77165560445,118856.82709313199
2008,682.9991290568275,893.8996963294751,93445.61864051636,105816.49392762204
2009,615.9348783892149,838.1281761426649,85595.7062905,100961.03743609008
2010,602.9754519270095,831.7587348147214,84856.17458251776,101640.72608984995
2011,545.4284148797168,795.4141121018667,78358.85868372739,99599.95748150241
2012,520.5176269900443,782.1675004330567,76045.82951743236,100008.30422409585
2013,544.313725368008,786.1414102145633,80779.52070343518,102456.11978923208
2014,533.2843177855439,823.1286254275174,80543.63702496761,109505.05661561611
2015,554.4727503495791,838.4892533095478,84992.00621950251,113497.7543999148
2016,551.4835146591269,801.2161305762735,85496.51685178018,109923.72837215548
2017,569.0393820668536,818.3207710363711,89545.60202034077,114110.37985602752
2018,546.6516718503843,841.6389250982812,86893.79274435187,118754.14136798636
2019,570.8914917160278,817.8382948023846,91741.64044703971,116774.7383231894
2020,599.4666782992415,914.2966814974586,97395.00952727115,132145.1188272239
2021,627.3741847179984,872.2870072385458,102602.91351475137,128369.1055673322
2022,582.4508339937944,809.6339696729485,96050.7205891319,120504.25220014415
