age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,639.6616149934848,1.6863778863481425,804.0170771522505,2.121995627864057
25-29 years,1690.6741861737837,4.637692626622116,2119.207206043392,6.120130033385935
30-34 years,3643.8262411611113,10.404905596281809,4776.102708817002,14.853173069353723
35-39 years,6531.651762489372,18.914249601972738,9492.035722655794,30.61520863355889
40-44 years,11848.608238518731,34.45696564969474,16115.840596889477,52.69135149320606
45-49 years,19525.35355311591,58.35748852183803,25784.19497784778,87.20980939858455
50-54 years,29030.283603765914,92.0607105240471,38084.5152618103,138.1731068276934
55-59 years,37056.627158077405,133.03451033307465,50317.64059224647,212.2413428498561
60-64 years,43337.13883387614,188.7056966664211,58143.86567473227,310.3307416589468
65-69 years,46193.662176479345,256.75568349419365,56810.56568541168,411.21402029261753
70-74 years,46299.400036402796,340.7758369312967,50519.23732414212,523.5128629336431
75-79 years,45805.034339043756,461.3638121529387,41898.76608044623,663.3293318216088
80-84 years,40207.23513014992,584.7336803604962,30783.365639378455,819.6185766123381
