Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
2000,3497.494258442949,3878.9397954512897,422796.5520286607,399752.17002560926
2001,3436.276618992575,3881.6684022718878,423866.50781657605,408932.48522877065
2002,3405.8865104769716,3898.459165314166,426628.80319380347,417620.9956543889
2003,3450.0787276938663,4059.3686920028804,438356.1353927905,441270.5885439672
2004,3437.177295832205,4020.1815449485985,443108.7637428336,444811.94179363607
2005,3251.3493154599128,3967.8927662188225,425306.9556052425,446437.812611689
2006,3333.121718575516,4222.978379641199,442628.3315431525,483525.19675875345
2007,3183.0085115794304,4117.087908988252,428983.8289416904,479177.7336908866
2008,3138.7053724366774,3974.8926827826967,429426.99745851994,470532.88994025526
2009,3089.291953557377,3926.07206038268,429315.07206384634,472935.19004378613
2010,2965.5682614547986,3816.4096220613665,417341.6634560507,466364.37804168597
2011,2870.4483553250434,3849.584167556502,412382.3601736177,482036.22940120654
2012,2806.8884845823254,3851.125584641401,410076.723832206,492406.7272812744
2013,2730.8468414899376,3747.610537686404,405274.54791058716,488418.024014013
2014,2559.524426790125,3519.259361466365,386573.1646562783,468185.26742676937
2015,2475.068973884243,3483.859885113169,379389.38836839265,471574.6469541393
2016,2564.3660497070755,3629.885277002922,397553.79690439044,498006.1034522207
2017,2464.631671316334,3571.8292363399864,387841.2175354345,498072.1562565654
2018,2452.2847769110845,3662.052664434383,389806.40895828465,516710.79704217444
2019,2455.0274466216824,3620.7461749888266,394520.23469218763,516986.90291969496
2020,3607.72359825713,5373.296673830132,586144.7966063849,776613.2611290499
2021,3344.796784323993,4514.871997442154,547019.4718653804,664425.9002520576
2022,2699.2677128556606,3984.458151439183,445130.4620941215,593038.543276416
