Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,126.1555878634259,23.493061371754166
Female,25-29 years,325.57571110799074,62.36004734828256
Female,30-34 years,669.4063334781017,134.74665125394418
Female,35-39 years,1152.1386155446983,267.1157137392646
Female,40-44 years,1938.7381100345842,492.76979499516835
Female,45-49 years,2974.523585146292,794.3135093635576
Female,50-54 years,4237.619693281229,1205.6414291681058
Female,55-59 years,5501.087032846347,1691.5015717745214
Female,60-64 years,6947.932544993096,2349.6751872714744
Female,65-69 years,8388.81474517503,3164.7458079719254
Female,70-74 years,10060.113084016715,4451.010448843105
Female,75-79 years,12223.0624808778,6322.796907850653
Female,80-84 years,14609.221545589555,9070.53034485659
Male,20-24 years,173.75498917033687,56.125609289215035
Male,25-29 years,457.6523742438675,143.24427895331402
Male,30-34 years,1004.327034990158,311.0988569502949
Male,35-39 years,1884.7936423194296,585.1887967009612
Male,40-44 years,3035.44880822544,1032.6173063055337
Male,45-49 years,4577.076901671082,1662.4443725734202
Male,50-54 years,6457.873465980625,2437.075029266087
Male,55-59 years,8555.628269228153,3266.351070509564
Male,60-64 years,10550.257719533332,4069.146947933112
Male,65-69 years,11788.25017664857,4757.193637402628
Male,70-74 years,12977.413741069648,5712.619263106298
Male,75-79 years,14304.15753883111,7099.738891298283
Male,80-84 years,15614.740385187992,9055.361442634145
