Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
1999,1270.7977111661091,913.2896547903791,117533.58954223956,69998.68374396052
2000,1237.2715511561933,906.132315963352,116077.84747775129,70675.44820569985
2001,1182.4675879989636,946.401162108743,113636.80248599949,75752.09734582179
2002,1200.203892977132,951.342244442747,117376.94022343108,77572.70347426759
2003,1196.836349437177,970.3613289051533,118917.83920553033,80414.07621308899
2004,1133.9315515113803,989.1825922036433,114335.06673371648,83336.6352443207
2005,1039.2737797953805,975.4697845284214,106366.29372227287,83545.86554154882
2006,1028.9169238313348,963.0024004113066,106864.19657767694,83860.68542388962
2007,994.816818110142,879.0415825059913,104899.82228466474,77858.4095128099
2008,894.387394515109,854.93564840218,95761.19077496005,77057.03421371584
2009,858.6724001572207,831.6900106422788,93451.52409717876,76366.8579741879
2010,847.1041186757506,856.0350930756077,93440.1162969702,79845.80871118332
2011,861.9295975930064,854.0476023343274,96791.15989834449,81128.02291950735
2012,824.1703742708039,885.4344326790526,93917.68390543379,85427.69689709527
2013,826.3878132501301,848.2030662411933,95530.05107332095,83090.39647052041
2014,796.0284992412444,801.3430548762035,93503.98316950921,79814.85007879396
2015,742.3445142139749,840.504264656266,88537.87128682094,85069.97494873994
2016,758.6324334223854,843.9675304667699,91645.91593672553,86617.72956017804
2017,742.7763044264136,882.467103891027,91252.80984334827,92178.33077838426
2018,765.7840890394198,894.6054126261798,95272.8832423901,94774.58687415875
2019,760.8813701945454,869.4438221718934,96150.85915958807,93658.65343947358
2020,925.4013161195204,1148.838038856874,118882.12426792594,126030.23263199038
2021,852.4740164144056,988.8465700215551,111072.52228638383,112109.57013734938
2022,741.7123518150485,917.3932663718633,97394.00415175792,105139.66255728215
