Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
1999,799.5875206297187,917.5654864593989,95459.97951928554,93172.21455672379
2000,800.7391530297045,898.7482164173138,96797.80092792153,92622.35785169427
2001,767.2874809836774,899.055007130999,94645.30976882672,94715.1483130984
2002,798.8680557257551,970.5860497217172,100067.96218125013,103973.67145960058
2003,816.3365905533033,963.173921567751,103721.15573544247,104701.08913184199
2004,805.0232653671378,1025.633334159357,103780.75763900467,113480.93359339518
2005,749.175816479774,976.105268382322,97999.21657295486,109824.1123362348
2006,692.9551900394165,979.8266267932959,92022.3218648011,112188.79660708741
2007,677.3309607988762,956.5626453165469,91285.9729929142,111331.97314428542
2008,721.5367266580159,953.2729983670808,98718.20171647912,112844.88277295115
2009,693.08104247885,968.1161522096363,96316.61305279312,116619.4072314341
2010,660.1085700104627,924.9447070991096,92896.46515660231,113028.03047022856
2011,606.6423782389646,876.6325017763071,87153.14987480143,109769.94068297517
2012,615.7000885503951,915.6493765161189,89951.65877190723,117075.35963655793
2013,617.4526592607085,916.1521208007964,91633.79049172337,119400.13617690808
2014,609.8517827639113,892.5815977333227,92107.86627653838,118744.74459332421
2015,591.464130343373,896.7023397667143,90662.20659728182,121377.46730440129
2016,591.8684603376893,959.2468164050899,91757.396999575,131604.92214819437
2017,588.0924255643421,894.7479016818,92543.84134097518,124767.72746094188
2018,586.5973069945114,938.0357029001593,93243.4079014885,132355.59947208466
2019,578.5718419689864,934.5220592950911,92975.86436110837,133435.38646328766
2020,710.5315723058568,1119.1447648525566,115439.65954953636,161752.21996222207
