age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24,156.96503413862817,0.41589978763090263,325.8425199701025,0.8643681470229997
25-29,519.5411839079005,1.4269588701422338,792.5599346856726,2.292744311504276
30-34,1240.9708180423781,3.5544345321417175,1766.29023030473,5.5138760153174715
35-39,1997.7421264672676,5.794598662868116,3326.2873894648487,10.750932308963531
40-44,3605.412344987856,10.502159148406548,5387.55827122887,17.650683760366718
45-49,5366.361081126378,16.047909509057554,7974.191947714124,26.98882785446056
50-54,7428.082281047383,23.573863783762473,10699.922325400481,38.85507400801633
55-59,8414.048659695609,30.197740435719965,12944.748592778165,54.583825740495584
60-64,9360.435346044933,40.79139356462431,14005.318654011338,74.81093590817764
65-69,9250.184045063545,51.53929801676573,12582.578528002847,91.31974352105867
70-74,9447.454267859275,69.70268308752969,10668.296585799724,110.71854614649067
75-79,9611.668114553446,97.28569524531068,8764.160497269957,139.42322250211987
80-84,9318.474079594798,135.93540668183496,6667.311885203985,177.877234038459
85+,12801.474542401567,186.4967237523942,6005.300701264339,217.1884848946495
