Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,17148,7447,3309,3174,591
2001,17087,7308,3267,3295,613
2002,17042,7194,3462,3243,617
2003,17058,6785,3692,3349,675
2004,16538,6616,3582,3256,588
2005,16152,6405,3493,3083,723
2006,15349,6019,3375,2986,639
2007,14958,5791,3320,2930,687
2008,15044,5435,3651,2957,707
2009,14572,5334,3571,2700,658
2010,14232,5105,3469,2694,654
2011,13496,4934,3280,2497,674
2012,13448,4646,3428,2477,718
2013,14334,4969,3531,2602,868
2014,14291,4735,3553,2640,936
2015,14229,4593,3679,2787,961
2016,15499,5188,3672,2859,1246
2017,15306,4753,3785,3044,1275
2018,15934,4986,3846,2989,1320
2019,15969,4832,3905,3178,1400
2020,19602,6374,5109,3542,1589
2021,18454,5655,4801,3777,1436
2022,17145,4831,4262,3607,1429
2023,16304,4529,4236,3491,1341
