Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,567324,248620,110012,103759,16668
2001,568507,246185,109069,108656,20429
2002,564374,240713,114923,106459,20475
2003,563422,226960,121661,109668,22300
2004,551125,223308,119556,108087,19430
2005,517770,206866,112545,97579,23437
2006,493517,195331,108295,95393,20289
2007,477977,187416,106426,92380,22091
2008,478702,173842,116555,93446,22747
2009,467705,173566,115399,85596,20860
2010,452802,164461,110712,84856,20903
2011,425503,156896,103719,78359,21370
2012,418812,145628,107891,76046,22293
2013,443284,154234,109981,80660,26863
2014,438323,146148,110144,80544,28306
2015,427848,137146,111999,84992,28663
2016,464061,154295,111412,85497,37354
2017,447928,138421,112628,89546,36634
2018,461977,142616,112994,86894,37912
2019,459725,137520,114224,91600,39862
2020,538964,173373,141553,97395,42591
2021,496817,150857,131411,102190,37524
2022,466624,129641,117221,97160,38185
2023,435184,118695,114783,92461,34872
