Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,497270,177029,106609,113291,15615
2001,525879,192650,110610,114060,19682
2002,521181,183788,118143,113440,21065
2003,552813,203022,122520,116749,20474
2004,539037,182357,128184,116781,21403
2005,537278,182944,127093,111280,25496
2006,546530,192157,130274,113078,23027
2007,536282,175223,126731,118857,25322
2008,515320,165201,130505,105816,28299
2009,503910,161229,134080,100961,24332
2010,494153,150292,133178,101641,25968
2011,473763,144766,128964,99600,24911
2012,496485,148531,138662,100008,28223
2013,506720,142766,143121,102456,32193
2014,508756,137585,140058,109505,32996
2015,524267,139280,142795,113498,38931
2016,539948,147379,153588,109924,37286
2017,548157,149219,146000,114110,43600
2018,587385,158227,156988,118754,47003
2019,577621,147775,156871,116775,51305
2020,702967,202230,195531,132145,56991
2021,635105,174304,181313,128369,47914
2022,602523,166831,164605,120504,52126
