age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,1439.1028058421334,3.7669627665920853,2171.3288444131977,5.676154066057492
25-29 years,2781.387829013357,7.568851649949276,4017.9344789430684,11.462238565319316
30-34 years,5281.267181469023,14.902153957645154,7448.714441046953,22.787631116263658
35-39 years,8714.976693062898,25.187705098447047,12899.27710151953,41.40160271542824
40-44 years,15697.667305519384,45.538980561769336,20420.233179413364,66.4865056381455
45-49 years,24703.298023065203,73.48440072894289,31329.5320294799,105.33811663218518
50-54 years,35049.481669796376,109.56496834430997,45616.391312436375,162.8772442290633
55-59 years,43571.462944277424,152.75815250206057,59132.44877248392,243.0256470520415
60-64 years,51290.43756217201,216.0488310934286,69071.36172303573,355.44311114727145
65-69 years,53953.26945468153,289.1446635981936,67014.4434647964,466.06455386577306
70-74 years,52582.29417034147,374.1493182734828,56338.140329889706,562.3153658283597
75-79 years,47075.27774653127,462.3563400935792,39780.7909232417,610.628202714121
80-84 years,30349.25443941672,432.4652197428529,18127.57506870506,469.21749441367683
